frame,ms
0,332.281
1,16.8843
2,0.294625
3,0.187791
4,0.17875
5,0.250833
6,0.142959
7,0.069666
8,0.229208
9,0.168792
10,0.161792
11,0.103166
12,0.061333
13,0.064292
14,0.206208
15,0.149208
16,0.178958
17,0.0905
18,0.224458
19,0.238875
20,0.147333
21,0.10525
22,0.08425
23,0.257833
24,0.265667
25,0.401166
26,0.25875
27,0.068792
28,0.1305
29,0.304875
30,0.091041
31,0.202625
32,0.234125
33,0.1805
34,0.13675
35,0.136458
36,0.089083
37,0.125833
38,0.0805
39,0.0905
40,0.265167
41,0.115791
42,0.1195
43,0.181334
44,0.102
45,0.250333
46,0.3175
47,0.204167
48,0.072083
49,0.081667
50,0.250792
51,0.291958
52,0.344292
53,0.172959
54,0.089708
55,0.077459
56,0.079792
57,0.211459
58,0.083958
59,0.085375
60,0.298459
61,0.15125
62,0.2795
63,0.088125
64,0.063417
65,0.07025
66,0.130208
67,0.349125
68,0.0815
69,0.087458
70,0.170291
71,0.268583
72,0.114417
73,0.254167
74,0.086583
75,0.157584
76,0.065042
77,0.068583
78,0.221833
79,0.207209
80,0.178458
81,0.242667
82,0.130584
83,0.119208
84,0.238458
85,0.308
86,0.08125
87,0.161667
88,0.091167
89,0.192042
90,0.089291
91,0.181084
92,0.096375
93,0.135583
94,0.298583
95,0.136792
96,0.117708
97,0.11175
98,0.125208
99,0.072416
