frame,ms
0,0.037625
1,0.033209
2,0.057917
3,0.040875
4,0.0525
5,0.036833
6,0.035583
7,0.047958
8,0.040583
9,0.0465
10,0.049709
11,0.039292
12,0.0625
13,0.05025
14,0.059834
15,0.045458
16,0.063
17,0.050416
18,0.044042
19,0.058584
20,0.053
21,0.0545
22,0.042834
23,0.048625
24,0.041167
25,0.052041
26,0.040083
27,0.051791
28,0.047542
29,0.038
30,0.040583
31,0.047417
32,0.049208
33,0.039083
34,0.046917
35,0.03875
36,0.047125
37,0.044084
38,0.0455
39,0.070917
40,0.0395
41,0.037833
42,0.042292
43,0.054458
44,0.0475
45,0.039542
46,0.034458
47,0.054542
48,0.049208
49,0.053209
50,0.042834
51,0.048375
52,0.042959
53,0.046666
54,0.049917
55,0.037083
56,0.037167
57,0.039917
58,0.045458
59,0.050375
60,0.04625
61,0.044083
62,0.036125
63,0.04675
64,0.045875
65,0.048334
66,0.038792
67,0.056208
68,0.039084
69,0.044416
70,0.068375
71,0.04275
72,0.051583
73,0.046708
74,0.042875
75,0.047792
76,0.041708
77,0.044625
78,0.042208
79,0.042708
80,0.045667
81,0.057208
82,0.04075
83,0.036833
84,0.037833
85,0.036667
86,0.038375
87,0.036083
88,0.051541
89,0.057833
90,0.05575
91,0.037833
92,0.043333
93,0.043917
94,0.036041
95,0.043084
96,0.047083
97,0.046541
98,0.038667
99,0.043084
100,0.042959
101,0.044916
102,0.042
103,0.041959
104,0.04425
105,0.040584
106,0.041333
107,0.035291
108,0.038125
109,0.049
110,0.071208
111,0.0405
112,0.048542
113,0.066792
114,0.038833
115,0.041875
116,0.05025
117,0.04125
118,0.043666
119,0.040584
120,0.036333
121,0.042833
122,0.03725
123,0.052333
124,0.050375
125,0.053583
126,0.041916
127,0.041625
128,0.038916
129,0.04775
130,0.058333
131,0.042208
132,0.046
133,0.045917
134,0.037125
135,0.048625
136,0.045875
137,0.04225
138,0.048708
139,0.062125
140,0.042625
141,0.043417
142,0.036542
143,0.041167
144,0.041583
145,0.041375
146,0.042583
147,0.040416
148,0.045125
149,0.040375
150,0.040917
151,0.03975
152,0.047125
153,0.037042
154,0.041333
155,0.053
156,0.043958
157,0.047375
158,0.039666
159,0.040833
160,0.04225
161,0.038542
162,0.040833
163,0.040084
164,0.040083
165,0.045709
166,0.098584
167,0.110667
168,0.041458
169,0.110417
170,0.037417
171,0.045916
172,0.040834
173,0.089625
174,0.043958
175,0.084917
176,0.098958
177,0.0375
178,0.092791
179,0.113458
180,0.04675
181,0.047334
182,0.09275
183,0.048833
184,0.046417
185,0.045333
186,0.038916
187,0.0435
188,0.044042
189,0.0425
190,0.048125
191,0.040375
192,0.047375
193,0.047
194,0.041375
195,0.111042
196,0.040458
197,0.117084
198,0.120167
199,0.040583
200,0.040333
201,0.083166
202,0.040875
203,0.089
204,0.1375
205,0.040542
206,0.10675
207,0.051375
208,0.037792
209,0.034834
210,0.085875
211,0.097875
212,0.054583
213,0.050208
214,0.0415
215,0.053375
216,0.048959
217,0.054166
218,0.044083
219,0.040958
220,0.040125
221,0.0475
222,0.045875
223,0.033584
224,0.045833
225,0.038125
226,0.037375
227,0.059042
228,0.045584
229,0.036292
230,0.04075
231,0.04625
232,0.042209
233,0.044875
234,0.039458
235,0.057791
236,0.039291
237,0.042167
238,0.037125
239,0.042291
240,0.043125
241,0.050625
242,0.045541
243,0.046541
244,0.041917
245,0.046333
246,0.043667
247,0.045375
248,0.043875
249,0.045666
250,0.041792
251,0.035292
252,0.034375
253,0.043708
254,0.035208
255,0.046042
256,0.037917
257,0.040542
258,0.048083
259,0.037875
260,0.049667
261,0.044042
262,0.043334
263,0.04175
264,0.04375
265,0.046125
266,0.041667
267,0.04325
268,0.036708
269,0.039333
270,0.039458
271,0.037708
272,0.108583
273,0.048541
274,0.107167
275,0.041125
276,0.05225
277,0.114042
278,0.043875
279,0.046417
280,0.115416
281,0.04025
282,0.110917
283,0.070583
284,0.04325
285,0.163083
286,0.042916
287,0.038625
288,0.047834
289,0.119958
290,0.035209
291,0.113417
292,0.044375
293,0.04
294,0.123041
295,0.078417
296,0.042334
297,0.110875
298,0.036833
299,0.107042
300,0.11025
301,0.0485
302,0.039417
303,0.139584
304,0.043959
305,0.044334
306,0.042417
307,0.04175
308,0.041833
309,0.064625
310,0.03725
311,0.04575
312,0.044042
313,0.055292
314,0.045208
315,0.130125
316,0.039417
317,0.123167
318,0.035875
319,0.050125
320,0.0405
321,0.039958
322,0.037334
323,0.046375
324,0.046209
325,0.039458
326,0.04275
327,0.042291
328,0.042167
