frame,ms
0,0.822333
1,0.761417
2,0.786417
3,0.708708
4,0.626375
5,0.594458
6,0.288916
7,0.827625
8,0.117708
9,0.227709
10,0.288542
11,0.269083
12,0.352416
13,0.372792
14,0.295666
15,0.33525
16,0.670709
17,0.291875
18,0.296709
19,0.312083
20,0.321
21,0.315542
22,0.215
23,0.36825
24,0.169125
25,0.162292
26,0.215834
27,0.291167
28,0.210541
29,0.221875
30,0.273666
31,0.180084
32,0.304125
33,0.54975
34,0.708958
35,0.582542
36,0.907375
37,0.681625
38,0.896042
39,0.650459
40,0.943541
41,0.677792
42,0.858833
43,0.688333
44,0.813875
45,0.744583
46,0.882542
47,0.658166
48,0.823958
49,0.832208
50,0.923958
51,0.73
52,0.260791
53,0.822791
54,0.645417
55,0.351167
56,0.483291
57,0.505334
58,0.6845
59,0.512833
60,0.454875
61,0.565833
62,0.492125
63,0.487792
64,0.474625
65,0.553208
66,0.4465
67,0.461875
68,1.00271
69,0.613167
70,0.209667
71,0.613959
72,0.637666
73,0.38575
74,0.628292
75,0.588833
76,0.782625
77,0.146333
78,0.975125
79,0.581125
80,0.461958
81,0.592917
82,0.551459
83,0.492959
84,0.484417
85,0.519333
86,0.424208
87,0.543667
88,0.09125
89,0.89175
90,0.175875
91,0.502083
92,0.401333
93,0.452208
94,0.577458
95,0.506042
96,0.474875
97,0.471458
98,0.414958
99,0.587125
100,0.543084
101,0.552375
102,0.473416
103,0.511167
104,0.205125
105,0.627875
106,0.401666
107,0.283667
108,0.648541
109,0.295875
110,0.348584
111,0.142291
112,0.229208
113,0.156083
114,0.206792
115,0.273
116,0.245666
117,0.173917
118,0.202125
119,0.2015
120,0.15875
121,0.118667
122,0.172708
123,0.213916
124,0.107667
125,0.12175
126,0.096916
127,0.221125
128,0.078958
129,0.274041
130,0.286
131,0.299833
132,0.246709
133,0.127958
134,0.084167
135,0.282208
136,0.229459
137,0.246541
138,0.294542
139,0.258334
140,0.213959
141,0.062958
142,0.22625
143,0.0865
144,0.229083
145,0.179083
146,0.265792
147,0.226167
148,0.259417
149,0.127541
150,0.181292
151,0.221042
152,0.17775
153,0.228625
154,0.235833
155,0.19175
156,0.291667
157,0.197917
158,0.294917
159,0.220459
160,0.218458
161,0.192917
162,0.280209
163,0.069875
164,0.229458
165,0.157917
166,0.196542
167,0.291166
168,0.199083
169,0.179667
170,0.26275
171,0.217458
172,0.26925
173,0.112209
174,0.093292
175,0.298583
176,0.175584
177,0.100708
178,0.3895
179,0.090083
180,0.262167
181,0.373917
182,0.333958
183,0.430583
184,0.135833
185,0.076125
186,0.127917
187,0.125292
188,0.354875
189,0.235458
190,0.352375
191,0.322041
192,0.288458
193,0.255709
194,0.369291
195,0.319917
196,0.257166
197,0.152083
198,0.079625
199,0.224375
200,0.121708
201,0.303041
202,0.304833
203,0.281708
204,0.27975
205,0.333542
206,0.285542
207,0.317417
208,0.319209
209,0.677125
210,0.88375
211,0.37475
212,0.708208
213,0.728917
214,0.628041
215,0.686083
216,0.705834
217,0.683792
218,0.662917
219,0.653167
220,0.665833
221,0.548292
222,0.163584
223,0.287458
224,0.31325
225,0.725917
226,0.637875
227,0.352708
228,0.5785
229,0.471166
230,0.583625
231,0.318375
232,0.546
233,0.324167
234,0.583125
235,0.315084
236,0.571667
237,0.413083
238,0.985167
239,0.226292
240,0.232208
241,0.072667
242,0.210291
243,0.141
244,0.245542
245,0.308166
246,0.253834
247,0.22125
248,0.257875
249,0.295667
250,0.22675
251,0.22925
252,0.224625
253,0.075459
254,0.261625
255,0.150875
256,0.264291
257,0.073709
258,0.210292
259,0.076917
260,0.202667
261,0.2465
262,0.235
263,0.157542
264,0.216625
265,0.218208
266,0.22175
267,0.152208
268,0.18375
269,0.178167
270,0.183041
271,0.21675
272,0.214791
273,0.135625
274,0.217541
275,0.1115
276,0.140292
277,0.256458
278,0.247041
279,0.097542
280,0.252708
281,0.135083
282,0.216333
283,0.13925
284,0.332417
285,0.327791
286,0.08125
287,0.239417
288,0.079666
289,0.242125
290,0.328417
291,0.306
292,0.108792
293,0.112709
294,0.083125
295,0.173
296,0.074583
297,0.112
298,0.079375
299,0.104416
300,0.076792
301,0.135458
302,0.18075
303,0.117792
304,0.088583
305,0.095834
306,0.085667
307,0.088834
308,0.101
309,0.111708
310,0.082625
311,0.260875
312,0.137375
313,0.143542
314,0.231042
315,0.114958
316,0.122625
317,0.179542
318,0.25425
319,0.111166
320,0.257667
321,0.421917
322,0.307792
323,0.357083
324,0.284167
325,0.288375
326,0.21425
327,0.307375
328,0.2255
329,0.21325
330,0.092833
331,0.271292
332,0.227792
333,0.168
334,0.17925
335,0.295209
336,0.695083
337,0.648625
338,0.612458
339,0.567375
340,0.592333
341,0.520417
342,0.629375
343,0.272375
344,0.13575
345,0.267792
346,0.319417
347,0.535833
348,0.609083
349,0.556541
350,0.627958
351,0.674875
352,0.5645
353,0.688708
354,0.603916
355,0.108167
356,0.266583
357,0.288542
358,0.213166
359,0.224375
360,0.257417
361,0.288625
362,0.282709
363,0.097
364,0.270833
365,0.1875
366,0.188875
367,0.112833
368,0.196167
369,0.173625
370,0.221542
371,0.072375
372,0.23675
373,0.073542
374,0.17
375,0.225292
376,0.308042
377,0.156709
378,0.260125
379,0.080583
380,0.224417
381,0.070917
382,0.246584
383,0.1345
384,0.200417
385,0.316
386,0.084375
387,0.274833
388,0.232334
389,0.374708
390,0.428292
391,0.37
392,0.298291
393,0.379083
394,0.342834
395,0.341958
396,0.422834
397,0.15225
398,0.216458
399,0.272875
400,0.10125
401,0.123167
402,0.355625
403,0.388125
404,0.30275
405,0.251334
406,0.392625
407,0.271875
408,0.342542
409,0.140792
410,0.100458
411,0.28525
412,0.213375
413,0.219375
414,0.14225
415,0.154167
416,0.082291
417,0.246125
418,0.093166
419,0.113958
420,0.08975
421,0.114208
422,0.081667
423,0.236125
424,0.088083
425,0.344333
426,0.096417
427,0.201417
428,0.109292
429,0.113167
430,0.082666
431,0.174833
432,0.078542
433,0.116917
434,0.08275
435,0.220875
436,0.158625
437,0.111083
438,0.206375
439,0.162041
440,0.073583
441,0.176458
442,0.111917
443,0.278709
444,0.158667
445,0.267792
446,0.241667
447,0.275125
448,0.335042
449,0.249417
450,0.334375
451,0.353709
452,0.493541
453,0.275083
454,0.238667
455,0.34975
456,0.282083
457,0.329625
458,0.294458
459,0.061
460,0.1625
461,0.062833
462,0.252916
463,0.102833
464,0.220917
465,0.060125
466,0.226208
467,0.083125
468,0.306417
469,0.051916
470,0.223666
471,0.077791
472,0.218167
473,0.053917
474,0.185875
475,0.056666
476,0.177
477,0.065875
478,0.202208
479,0.083333
480,0.153083
481,0.048208
482,0.176958
483,0.048459
484,0.171542
485,0.048333
486,0.097667
487,0.052916
488,0.075167
489,0.25675
490,0.083125
491,0.266208
492,0.098083
493,0.114958
494,0.111584
495,0.132125
496,0.09175
497,0.105833
498,0.099459
499,0.207167
500,0.259959
501,0.1315
502,0.10425
503,0.149875
504,0.086917
505,0.21575
506,0.125625
507,0.144292
508,0.198917
509,0.208667
510,0.285125
511,0.125792
512,0.0895
513,0.184041
514,0.093791
515,0.152292
516,0.18975
517,0.161
518,0.173917
519,0.141042
520,0.210167
521,0.151916
522,0.248292
523,0.232041
524,0.236584
525,0.133458
526,0.101375
527,0.148792
528,0.101583
529,0.197833
530,0.09275
531,0.161209
532,0.119875
533,0.21925
534,1.10442
535,0.572334
536,0.186041
537,0.663041
538,0.484417
539,0.503958
540,0.950916
541,0.819875
542,0.87575
543,0.766208
544,0.811833
545,0.637167
546,0.760125
547,0.748167
548,0.931583
549,0.738875
550,0.855042
551,0.728792
552,0.745333
553,0.713958
554,0.804541
555,0.805375
556,0.9125
557,0.745459
558,0.763833
559,0.8545
560,0.145792
561,0.425042
562,0.193291
563,0.738125
564,0.4625
565,0.413625
566,0.516208
567,0.317709
568,0.664375
569,0.485791
570,0.598125
571,0.325417
572,0.658667
573,0.52925
574,0.619666
575,0.287125
576,0.635084
577,0.61325
578,0.523709
579,0.365208
580,0.34325
581,0.369708
582,0.609334
583,0.663958
584,0.648667
585,0.235375
586,0.677875
587,0.441208
588,0.639458
589,0.077125
590,0.627916
591,0.429333
592,0.665
593,0.546167
594,0.721584
595,0.435625
596,0.641333
597,0.322542
598,0.235958
599,0.856291
