frame,ms
0,0.070417
1,0.040958
2,0.037958
3,0.035166
4,0.0355
5,0.033541
6,0.037541
7,0.050291
8,0.039333
9,0.046041
10,0.03425
11,0.0465
12,0.041291
13,0.047
14,0.042959
15,0.037083
16,0.048625
17,0.045166
18,0.037625
19,0.041709
20,0.040542
21,0.038
22,0.037958
23,0.041291
24,0.070833
25,0.042875
26,0.039208
27,0.032958
28,0.050209
29,0.124375
30,0.037459
31,0.036625
32,0.065875
33,0.037708
34,0.036709
35,0.039542
36,0.04
37,0.048833
38,0.0385
39,0.048708
40,0.04375
41,0.044958
42,0.045042
43,0.03875
44,0.049791
45,0.04225
46,0.052083
47,0.043083
48,0.060625
49,0.0345
50,0.057375
51,0.034708
52,0.038083
53,0.033083
54,0.051209
55,0.035792
56,0.047625
57,0.044417
58,0.037583
59,0.03725
60,0.050458
61,0.049792
62,0.052459
63,0.039792
64,0.0395
65,0.041084
66,0.034833
67,0.044792
68,0.038042
69,0.03875
70,0.04775
71,0.040334
72,0.041791
73,0.045959
74,0.044084
75,0.043583
76,0.04275
77,0.036958
78,0.040959
79,0.038792
80,0.046208
81,0.08275
82,0.044125
83,0.034417
84,0.03625
85,0.031417
86,0.124334
87,0.119166
88,0.0435
89,0.111
90,0.03425
91,0.117
92,0.126459
93,0.0515
94,0.10225
95,0.113
96,0.116333
97,0.124625
98,0.043917
99,0.095209
100,0.065416
101,0.042959
102,0.035208
103,0.039375
104,0.078208
105,0.07175
106,0.047791
107,0.038416
108,0.040875
109,0.047041
110,0.035375
111,0.050375
112,0.054875
113,0.044875
114,0.065167
115,0.038
116,0.040583
117,0.037167
118,0.046708
119,0.048625
120,0.037667
121,0.039583
122,0.037042
123,0.040125
124,0.03725
125,0.041625
126,0.0365
127,0.039458
128,0.045791
129,0.041208
130,0.036292
131,0.039708
132,0.036958
133,0.049375
134,0.046875
135,0.042834
136,0.043375
137,0.039375
138,0.039583
139,0.040667
140,0.033
141,0.043083
142,0.0555
143,0.037708
144,0.033583
145,0.048
146,0.035875
147,0.034917
148,0.042584
149,0.039292
150,0.039
151,0.053667
152,0.041333
153,0.044917
154,0.043417
155,0.043458
156,0.041833
157,0.036791
158,0.046958
159,0.037208
160,0.070125
161,0.044625
162,0.049125
163,0.044666
164,0.048042
165,0.043625
166,0.045417
167,0.038375
168,0.044
169,0.040917
170,0.038084
171,0.041042
172,0.035917
173,0.042833
174,0.058542
175,0.037209
176,0.045625
177,0.033625
178,0.045083
179,0.034791
180,0.037292
181,0.042416
182,0.039792
183,0.035
184,0.033833
185,0.038708
186,0.062417
187,0.037917
188,0.038125
189,0.039042
190,0.030833
191,0.072125
192,0.037916
193,0.035167
194,0.040541
195,0.058625
196,0.128833
197,0.125666
198,0.047791
199,0.041167
200,0.04525
201,0.040333
202,0.045208
203,0.113
204,0.070625
205,0.08875
206,0.048625
207,0.147166
208,0.141334
209,0.044333
210,0.120584
211,0.039833
212,0.125625
213,0.086709
214,0.045625
215,0.043791
216,0.034875
217,0.038375
218,0.03725
219,0.098334
220,0.048667
221,0.107666
222,0.047167
223,0.041708
224,0.040291
225,0.043584
226,0.04175
227,0.038
228,0.034708
229,0.04725
230,0.043083
231,0.033167
232,0.043334
233,0.034833
234,0.040333
235,0.039667
236,0.042166
237,0.038625
238,0.060583
239,0.04675
240,0.038291
241,0.053208
242,0.043584
243,0.055084
244,0.036959
245,0.034
246,0.044125
247,0.04275
248,0.038084
249,0.038917
250,0.048959
251,0.036625
252,0.051625
253,0.044917
254,0.046417
255,0.040875
256,0.040917
257,0.035458
258,0.05675
259,0.044167
260,0.03875
261,0.042667
262,0.038584
263,0.040583
264,0.036458
265,0.036875
266,0.035709
267,0.035792
268,0.030292
269,0.044792
270,0.047042
271,0.048292
272,0.036333
273,0.04175
274,0.039625
275,0.044041
276,0.03975
277,0.04925
278,0.037334
279,0.039375
280,0.045375
281,0.041875
282,0.049792
283,0.048791
284,0.066833
285,0.0395
286,0.044041
287,0.040458
288,0.043834
289,0.039375
290,0.042875
291,0.038791
292,0.071125
293,0.037084
294,0.036584
295,0.032916
296,0.045125
297,0.038417
298,0.039958
299,0.053083
300,0.03875
301,0.112167
302,0.04775
303,0.099166
304,0.166125
305,0.037791
306,0.03675
307,0.110166
308,0.039792
309,0.048959
310,0.042417
311,0.042375
312,0.051708
313,0.1135
314,0.035292
315,0.04
316,0.118584
317,0.036667
318,0.04475
319,0.039875
320,0.038417
321,0.039625
322,0.048541
323,0.062667
324,0.034375
325,0.046
326,0.044125
327,0.041708
328,0.042416
329,0.088208
330,0.09975
331,0.095
332,0.132375
333,0.039334
334,0.102375
335,0.043333
336,0.04025
337,0.054625
338,0.040125
339,0.039459
340,0.057625
341,0.046125
342,0.048292
343,0.039375
344,0.042291
345,0.041583
346,0.037083
347,0.038667
348,0.045166
349,0.037083
350,0.047459
351,0.052417
352,0.043667
353,0.039291
354,0.045125
355,0.037667
356,0.03675
357,0.036875
358,0.0435
359,0.042667
360,0.04325
361,0.040833
362,0.038291
363,0.042291
364,0.052292
365,0.0465
366,0.047
367,0.03875
368,0.039875
369,0.045625
370,0.040292
371,0.042875
372,0.040042
373,0.044917
374,0.039125
375,0.033834
376,0.042333
377,0.043417
378,0.044791
379,0.0435
380,0.040625
381,0.042125
382,0.036708
383,0.040792
384,0.044292
385,0.041125
386,0.035625
387,0.03975
388,0.039791
389,0.038083
390,0.039042
391,0.038208
392,0.040292
393,0.049791
394,0.041125
395,0.03925
396,0.040708
397,0.038833
398,0.049958
399,0.045834
400,0.0395
401,0.0395
402,0.040791
403,0.069416
404,0.048666
405,0.043625
406,0.038584
407,0.048875
408,0.050791
409,0.046834
410,0.038792
411,0.040958
412,0.038375
413,0.043958
414,0.04675
415,0.043167
416,0.043959
417,0.039834
418,0.040416
419,0.035625
420,0.130417
421,0.065166
422,0.141458
423,0.151959
424,0.039667
425,0.147833
426,0.047417
427,0.033917
428,0.113208
429,0.049583
430,0.048291
431,0.0425
432,0.053125
433,0.104208
434,0.038
435,0.112833
436,0.123625
437,0.04425
438,0.041416
439,0.04875
440,0.048958
441,0.037792
442,0.0535
443,0.04375
444,0.050792
445,0.042375
446,0.045875
447,0.03925
448,0.042792
449,0.046167
450,0.040625
451,0.041375
452,0.041167
453,0.04325
454,0.045834
455,0.036334
456,0.055292
457,0.042125
458,0.037292
459,0.043333
460,0.03425
461,0.048834
462,0.043542
463,0.035625
464,0.035792
465,0.036125
466,0.057041
467,0.043167
468,0.05775
469,0.040459
470,0.045584
471,0.0395
472,0.03875
473,0.0415
474,0.040417
475,0.042666
476,0.03425
477,0.034542
478,0.0385
479,0.033875
480,0.045209
481,0.038709
482,0.050959
483,0.041375
484,0.038708
485,0.046917
486,0.041083
487,0.034917
488,0.044583
489,0.03875
490,0.036708
491,0.039208
492,0.038916
493,0.036125
494,0.050166
495,0.045042
496,0.037959
497,0.044541
498,0.046333
499,0.039167
500,0.033375
501,0.047791
502,0.060458
503,0.04425
504,0.043958
505,0.037458
506,0.038083
507,0.037958
508,0.040334
509,0.044791
510,0.037833
511,0.034084
512,0.04225
513,0.035875
514,0.041833
515,0.040375
516,0.037625
517,0.039791
518,0.047167
519,0.04225
520,0.045417
521,0.040458
522,0.054375
523,0.042334
524,0.036417
525,0.049291
526,0.037167
527,0.044625
528,0.036333
529,0.031292
530,0.043084
531,0.041458
532,0.042416
533,0.037041
534,0.0815
535,0.044125
536,0.039667
537,0.038458
538,0.036167
539,0.042458
540,0.034167
541,0.043125
542,0.039417
543,0.036458
544,0.039375
545,0.047667
546,0.046041
547,0.109375
548,0.043667
549,0.046041
550,0.044958
551,0.040708
552,0.038458
553,0.045584
554,0.052333
555,0.037709
556,0.03925
557,0.046
558,0.037333
559,0.042291
560,0.044375
561,0.035875
562,0.041875
563,0.045917
564,0.040041
565,0.041458
566,0.040041
567,0.04
568,0.034084
569,0.043209
570,0.039333
571,0.038125
572,0.046
573,0.038084
574,0.0515
575,0.038083
576,0.0385
577,0.041708
578,0.042083
579,0.036459
580,0.038917
581,0.051625
582,0.042791
583,0.051209
584,0.045291
585,0.054292
586,0.040333
587,0.042
588,0.045958
589,0.040667
590,0.056959
591,0.048
592,0.0505
